Date,ShareLink,ShareCommentary,idea
2025-05-12 14:18:20,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7327698651835699200,"ML Foundations for AI Engineers (part 1/5)""
""""
""What is intelligence?""
""""
""“Intelligence” boils down to understanding how the world works.""
""""
""Whether from a human or a computer, this requires having an internal model of the world.""
""""
""Put simply, a model is something that lets you make predictions.""
""""
""The better your model, the more accurate your predictions.""
""""
""We (i.e. humans) develop our world models by learning from others and our experiences. ""
""""
""But, how can computers develop a model of the world? 🤔 ""
""""
""Stay tuned for tomorrow’s post, where I’ll share 3 ways computers can do this...""
""""
""... or read you can my blog post on this: https://lnkd.in/g7Ux7bSr""
""""
""--""
""♻️ If this post was helpful, repost it!",ML For AI Engineers (1/5). What is intelligence?
2025-05-10 02:53:16,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7326801473466433536,"Agostino is an ML engineer turned entrepreneur. He's the Co-founder of Launch Lab, an AI venture studio: https://lnkd.in/gXKAv6Tf",
2025-05-09 13:12:07,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7326594822469812226,"This month, I'm hosting two (free) AI workshops for entrepreneurs!""
""""
""I'll cover the basics of AI every entrepreneur needs to know to build with it 🚀 ""
""""
""Here are the details 👇 ""
""""
""📌 AI Essentials for Entrepreneurs""
""📅 Friday, May 16 at 10AM CST""
""🔗 Learn more: https://lnkd.in/gYYBZC7J""
""""
""📌 30 AI Buzzwords Explained: What you (actually) need to know""
""📅 Friday, May 23 at 10AM CST""
""🔗 Learn more: https://lnkd.in/gcK5bP6A",Share lightning lessons. AI Essentials for Entrepreneurs. 30 AI Buzzwords Explained: What you (actually) need to know.
2025-05-08 18:03:55,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7326305869602656257,"If you’re not using AI to code, you’re moving 5X slower than your peers.""
""""
""“Vibe coding” is becoming the norm when it comes to software development.""
""""
""My tool of choice is Cursor. I tried it 6 months ago and have never looked back.""
""""
""In a recent YouTube video, I revealed how I code with Cursor by building an Upwork job dashboard (from scratch).""
""""
""Check it out and see what the reality of “vibe coding” looks like 👇 ""
""""
""🔗 Video link: https://lnkd.in/gfFKG9KU",Share content: how I code with cursor video
2025-05-08 13:41:32,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7326239839194886144,"5 AI Projects You Can Build After Work 👇 ""
""""
""Python is the native (programming) language of AI engineering. ""
""​""
""Yet, most newcomers to the field have never written a single line of it.""
""​""
""Here are 5 (beginner-friendly) projects you can build fast to develop your Python skills.""
""​""
""1) Automated Birthday Emailer""
""​""
""Create a .csv file containing the birthdays of your friends and family, and then write a simple Python script to email them on their birthdays automatically.""
""​""
""2) PDF Summarizer""
""​""
""Extract the text from a PDF using PyMuPDF, then summarize it using GPT-4o-mini using OpenAI's API.""
""​""
""3) Stock Price Visualizer""
""​""
""Use the yfinance library to download stock price data and visualize it using Plotly Dash.""
""​""
""Add features to the visualization, like selecting the ticker name and applying different moving average windows.""
""​""
""4) AI Job Board Scraper""
""""
""Scrape your favorite job board using the requests and BeautifulSoup4 Python libraries""
""​""
""Bonus: Analyze the data to find the top-paying roles and skills using pandas.""
""​""
""5) Upwork Job Dashboard""
""​""
""Use Streamlit to build a custom dashboard to analyze Upwork job postings.""
""​""
""""
""Let me know which one you want to build, and I'll share more resources and example code :)""
""""
""--""
""♻️ If this post was helpful, repost it!","5 Python Projects You Can Build This Weekend

Automated Birthday Emailer
PDF Summarizer
Stock Price Visualizer
AI Job Board Scraper
Upwork Job Dashboard
"
2025-05-07 13:49:25,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7325879432869531648,"Houston AI Builders... I'm hosting a meet-up this Saturday (May 10)!""
""""
""If you're around, come socialize with fellow AI entrepreneurs and professionals.""
""""
""👉 Register here: https://lu.ma/xszj2dwq",Promote Houston Meet-up
2025-05-06 18:42:00,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7325590677210222592,"It's not uncommon to see technical freelancers make upwards of $200k/yr.""
""""
""However, most can never seem to break through this ceiling.""
""""
""The problem typically boils down to one thing... hourly-based pricing.""
""""
""This Thursday (May 8) at 4:30PM CST, I'll be sitting down with Jason Liu to discuss how he transitioned from hourly to value-based pricing (and how you can too).""
""""
""Jason is an independent ML consultant who scaled his business from $170/hour to $100,000/mo in one year.""
""""
""Join us live and ask Jason your pricing questions!""
""""
""👉 Register here: https://lu.ma/5swgvqg4",Share TDE Podcast: Jason Liu - Value-based Pricing for Tech Consultants
2025-05-06 14:18:07,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7325524268006473728,"25 AI Buzzwords Explained for Entrepreneurs 👇 ""
""""
""1) LLM = software that can perform arbitrary tasks via natural language""
""2) Prompt = the request you pass to an LLM""
""3) Prompt engineering = crafting your prompt to optimize task performance""
""4) Few-shot prompting = including task examples in your prompt""
""5) Context Window = the maximum amount of text an LLM can process""
""6) Hallucination = when LLMs make up things like facts and references""
""7) Guardrails = rules you apply to LLM inputs and outputs""
""8) Prompt Injection = when someone tricks your LLM into breaking your rules""
""9) Red Teaming = testing how well your LLM app follows your rules""
""10) Token = a unit of text that an LLM can understand""
""11) Temperature = controls the randomness of an LLM's response""
""12) RAG = automatically giving LLMs context to answer a specific question""
""13) Embedding = a collection of numbers representing a text's meaning ""
""14) Chunk = a snippet of text""
""15) Vector DB = a collection of chunks and their corresponding embeddings""
""16) Semantic Search = search based on a query's meaning, not keywords""
""17) AI Agent = an LLM system that can use tools to perform actions""
""18) Agentic AI = an LLM system with some level of agency""
""19) Function calling = an LLM's ability to use tools as needed""
""20) Fine-tuning = adapting a model to a specific use case via additional training""
""21) Distillation = using a bigger model to train a smaller (cheaper) one""
""22) Train-time compute = the cost of training an LLM""
""23) Test-time compute = the cost of using an LLM (after its trained)""
""24) Reinforcement Learning (RL) = a model's ability to learn via trial and error""
""25) RLHF = Aligning an LLM's response to human preferences via RL""
""""
""👉 What's missing from this list?""
""""
""--""
""♻️ If you found this post helpful, repost it!""
""",25 AI Buzzwords Explained for Entrepreneurs
2025-05-05 19:42:37,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7325243542262493186,"While “MCP” might seem like yet another scary AI buzzword, it’s a simple idea.""
""""
""MCP is a universal way to connect tools and context to AI apps...""
""""
""It works via client-server architecture.""
""""
""In other words, MCP clients send requests to MCP servers, which respond with access to tools, resources, and prompts.""
""""
""This is just like when you (the client) go to a coffee shop and ask a barista (the server) for a pumpkin spice latte (the request), who eventually gives one to you (the response).""
""""
""In a recent YouTube video, I talk more about how MCP works and walk through the implementation of an MCP server using Python.""
""""
""👉 Check it out here: https://lnkd.in/dYf6diUD""
""""
""--""
""♻️ If this post was helpful, repost it!",Share MCP video
2025-05-05 14:20:59,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7325162599954702337,"Free AI Agents course (beginner-friendly) 👇""
""""
""Over the past few months, I've done a deep dive into AI agents and synthesized the most essential learnings into a series of videos, blog posts, and code examples.""
""""
""Here’s what that has consisted of:""
""1) Intro to Agents""
""2) LLM Tool-use""
""3) LLM Workflows""
""4) LLM in a Loop""
""5) MCP""
""""
""I’ve gathered all these resources on GitHub so you can learn this stuff in 2 days instead of the 2 months it took me 😅 ""
""""
""🔗 Agents repo: https://lnkd.in/gVD25WxY""
""""
""--""
""♻️ If this post was helpful, repost it!",Share Agents series (Free AI agents course)
2025-05-02 20:41:41,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7324171243304161280,"I was thinking of uploading my PhD defense to YouTube.""
""""
""Does anyone care about that?",PhD defense poll
2025-05-02 20:37:35,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7324170214705692672,"Over the past 5 years, I’ve published over 200 YouTube videos and blog posts.""
""""
""However, like most people, when I first started, I had no idea what to post about.""
""""
""Here’s the exact approach I’d use if I could start over today…""
""""
""It consists of asking myself 4 basic questions.""
""""
""Q1: What platforms do I use?""
""Q2: Who am/was I?""
""Q3: What are/were my problems?""
""Q4: How can/did I solve them?""
""""
""Once I go through these, I’d pick one of the answers to Q4 and post content about it on the platform I use most.""
""""
""For example, I might post a Medium blog on “5 Things That Got Me Hired as a Data Scientist”.""
""""
""If you're struggling to make that first post, try this approach and drop one idea in the comments 👇""
""""
""--""
""♻️ If this post was helpful, repost it!",How I’d start content creation (if I could do it over)
2025-05-02 13:42:16,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7324065695246274560,"10 AI Terms Explained in Plain English 👇 ""
""""
""AI newcomers are welcomed to the field with a firehose of technical jargon.""
""""
""However, you don’t need a PhD to wrap your head around AI.""
""""
""I recently came across Greg Ceccarelli and Hamel H.'s amazing “Glossary of AI Terms” in language anyone can understand.""
""""
""Here are a handful of my favorite definitions…""
""""
""1) Agents = AI models that can perform tasks or run code without human help.""
""2) RAG = Providing relevant context to the LLM.""
""3) Vector DB = A special database for storing and searching embeddings.""
""4) Embeddings = Turning words into numbers that show meaning.""
""5) Hybrid Search = Combining search methods to get better results.""
""6) Reranking = Sorting results to pick the most important ones.""
""7) Fine-tuning = Adjusting a pre-trained model for a specific job.""
""8) RLHF = Training AI using people’s feedback.""
""9) Multimodal = Models that handle different data types like text and images.""
""10) Prompt Injection = A security risk where bad instructions are added to prompts.""
""""
""👉 Link to complete list: https://lnkd.in/gF3DZg9Y""
""""
""--""
""♻️ If this post was helpful, repost it!",Hamel content share: 10 AI Terms Explained in Plain English
2025-05-01 19:38:45,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7323793018250022913,"I’m excited and honored to share that I’ve been included in Dallas Innovates' AI 75 list of DFW innovators 🤯 ""
""""
""Had a blast connecting with the other honorees at this year’s Convergence AI, a fantastic conference organized by Dallas Regional Chamber""
""""
""Congrats to all the other innovators (and new friends) on the list: Ron Dagdag, Preston McCauley, Viv Babber, MD, AIGP, Yeshwant Muthusamy, Ph.D., Babar Bhatti, Aamer Charania""
""""
""I’m excited for the future of AI innovation here in DFW 🚀 ""
""""
""Full AI 75 list: https://lnkd.in/g7zWaTHz",Share AI 75 Honoree
2025-05-01 13:59:48,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7323707719113179136,"AI Roadmap for Entrepreneurs 👇 ""
""""
""The 5 things you need to know to build your next AI app...""
""""
""1) Use AI Tools""
""""
""Moving fast means you make mistakes faster than your competition and ship something before you run out of runway.""
""""
""Tools like ChatGPT, Claude, Cursor, etc., are the best way to do that when it comes to learning and building.""
""""
""2) Prompt Engineering""
""""
""Learning how to write effective prompts not only helps you use AI tools better but also allows you to build better LLM systems.""
""""
""There are a few universal tips you should know (e.g., give details, use structure, give examples), as well as model-specific ones you can find from the particular model provider.""
""""
""3) RAG""
""""
""While prompting alone can take you far, it falls short when your solution relies on specialized or user-specific information.""
""""
""Having a basic understanding of retrieval (i.e. search) and how you can use it to improve LLM responses is central.""
""""
""4) Tool-use & AI agents""
""""
""We often don’t just want LLMs to process information for us; we want them to solve our problems.""
""""
""This is where endowing models with the ability to perform actions (through tool use) helps.""
""""
""5) Fine-tuning""
""""
""Some use cases require changing an LLM’s behavior significantly. If prompting and other workarounds are not enough, fine-tuning is a viable option.""
""""
""Additionally, this allows you to build specialized models for your specific use case, which can come with significant cost savings.""
""""
""""
""What would you add to this list?""
""""
""--""
""If this post was helpful, repost it and follow me (Shaw Talebi) for more :)",AI Roadmap for Entrepreneurs
2025-04-30 19:34:01,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7323429441064316931,"LLMs, tools, and context are the key ingredients of agentic systems. ""
""""
""However, gluing these components together becomes increasingly complex as more models, apps, and libraries are released 😅""
""""
""In my latest YouTube video, I discuss how the Model Context Protocol (MCP) solves this problem by providing us a universal way to connect LLMs to tools and context.""
""""
""I start with an overview of the key concepts, then share Python code that implements an MCP server from scratch.""
""""
""👉 Check it out here: https://lnkd.in/dYf6diUD",Share content: MCP video
2025-04-30 13:50:37,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7323343021654056960,"There are only 2 ways to get LLMs to do what you want.""
""""
""You can either tell it or teach it...""
""""
""This gives rise to two fundamental levels of AI engineering.""
""""
""Level 1: Adapting models with tools and context""
""""
""This is what most engineers focus on, most of the time.""
""""
""It involves things like prompt engineering, setting up retrieval systems, and giving models access to tools.""
""""
""Level 2: Adapting models via additional training""
""""
""This level is all about fine-tuning, which allows one to further customize a model’s behavior to a greater extent than prompting alone.""
""""
""The general term for this is post-training, which encompasses any machine learning that happens after the pre-training phase.""
""""
""""
""How do you think about LLM development?""
""""
""--""
""If you found this post helpful, repost it and follow me (Shaw Talebi) for more :)",2 Way to get LLMs to do things you want: tell it or teach it (ask it or train it)
2025-04-29 19:40:13,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7323068610816462849,"2025 doesn’t just need to be the year of AI agents…""
""""
""It can be your year of AI freelancing ⛓️‍💥""
""""
""Last week, I sat down with data scientist turned independent data consultant Dimitri Visnadi to discuss the top questions aspiring technical freelancers ask.""
""""
""Here are some of the key points we covered:""
""- How to get your 1st client""
""- How to define services""
""- Niching""
""- How to stand out on Upwork""
""... and much more""
""""
""ICMYI—the recording is now on The Data Entrepreneurs YouTube channel!""
""""
""👉 Check it out: https://lnkd.in/gWEd2qTP",Share Podcast: Dimitri V - How to Become a Data Freelancer (in 2025)
2025-04-29 14:01:51,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7322983460569042944,"Intelligence is NOT just reserved for humans.""
""""
""Computers are fast approaching on our tails... here's how 👇 ""
""""
""Sairam said it well: “Intelligence is about how well your model [of the world] matches reality, and how fast you can update it when it doesn’t.”""
""""
""Here are 4 ways computers can acquire and update world models 🌎 ""
""""
""1) Expert systems = people accumulate experience and data, and synthesize it into a computer program""
""""
""2) Machine learning = people accumulate experience and data, and synthesize them into ""features"" from which computers can learn.""
""""
""3) Deep learning = people accumulate data from which computers can learn.""
""""
""4) Reinforcement learning = computers are directly given access to the world, so they can learn from it.""
""""
""""
""How else can computers gain intelligence?""
""""
""--""
""If you liked this post, repost it and follow me (Shaw Talebi) for more :)",How to make computers intelligent…
2025-04-28 18:06:52,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7322682730809372673,"There has been a lot of buzz around ""MCP"" over the past couple of months.""
""""
""Here's it explained in plain English...""
""""
""MCP is a universal way to connect tools and context to LLM apps.""
""""
""Anthropic describes it as the “USB-C port of AI apps”. ""
""""
""Rather than every AI app developer creating their own custom way of plugging in tools and data, MCP provides a standard that everyone can use.""
""""
""In a recent blog post, I broke down how MCP works and built a custom MCP server using the official Python SDK.""
""""
""👉 Check it out here: https://lnkd.in/gvRsG_ZC",Share content: MCP blog
2025-04-28 14:08:50,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7322622828963409922,"But what is intelligence?""
""""
""While this word is used in many contexts, it’s not always clear what it means.""
""""
""The more I think about it, intelligence seems to surround one key thing…""
""""
""One’s model of the world 🌎 ""
""""
""This allows you to run simulations in your head when faced with a decision or a problem.""
""""
""The better your model, the better you can predict the consequences of a particular decision (without spending precious time and energy to make it).""
""""
""This is why AI is valuable.""
""""
""As computers continue to gain better models of the world, we can use them to make better decisions and come up with better solutions.""
""""
""I'm curious how you think about this.""
""""
""How do you define intelligence?""
""",But what is intelligence?
2025-04-25 13:15:18,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7321522194839162880,"I'm wrapping up my AI Agents series and exploring new video ideas.""
""""
""What should I make next? 👇",YouTube Video poll
2025-04-24 20:13:51,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7321265135262613504,"Matías 4X'ed his Upwork leads by rewriting his profile to be **client-focused**""
""""
""This inspired me to build an LLM system to optimize my profile too...""
""""
""It's been 3 years since I last used Upwork.""
""""
""Looking back at my profile, it's amazing that anyone ever hired me, because my profile is so bad 😅""
""""
""That's why I recently built an AI copywriter to rewrite my profile using the ""Evaluator-Optimizer"" agent design pattern.""
""""
""Here's how it works:""
""""
""1. Input profile""
""2. Profile is evaluated via a rule-based test suite""
""3. If tests are passed, break out of the loop""
""4. Test results are translated into a prompt to rewrite profile""
""5. Profile is rewritten""
""6. Repeat from Step 2""
""""
""The example code is freely available on GitHub, and I reviewed it in the blog post linked below :)""
""""
""👉 Blog post: https://lnkd.in/d9x5Z325",LLM in a loop project code demo: Upwork profile writer
2025-04-24 13:51:46,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7321168984265883649,"People had lot to say about this post 😅 ""
""""
""Here are 3 key themes from the comments section…""
""""
""1) Tech skills aren’t enough, you need know how to communicate your value""
""2) If you can’t explain something simply, you don’t understand it""
""3) Opportunities come to those who put themselves out there""
""""
""The best way I’ve found to check all three of these boxes simultaneously is posting free content online.""
""""
""But I’m curious how other people transform their expertise into opportunities.""
""""
""Let’s knowledge share in the comments 👇""
""""
""--""
""Thanks to Christopher, Abderahmane, Anas, Agostino, James, Yogita, Alan, and Jacob for sharing their insights :)",Commentary post on Tech talk validation post (communication for technical professionals)
2025-04-23 22:04:05,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7320930489559564288,"My heart would drop every time a client asked about a new AI tool I’d never heard of...""
""""
""We’d be in a discovery call, and the client would say something like:""
""""
""“Have you heard of [insert buzzwordy AI tool]… can we use that?”""
""""
""And I’d freeze for a second.""
""""
""I was supposed to be the expert… but I know nothing about Model X or Framework Y.""
""""
""But here’s what I’ve learned: You don’t need to know every tool.""
""""
""You just need to know how to listen to a client’s real pain point…""
""""
""Here are my go-to questions.""
""- What problem are you trying to solve?""
""- Why is that important to your business?""
""- How do you cope with that now?""
""""
""Tools and models come and go, but solving problems is how value is generated.""
""""
""I’m curious how others are navigating this... 👇""
""""
""How do you cope with the revolving door of AI tech?""
""""
""--""
""If you enjoyed this post, repost it and follow me (Shaw Talebi) for more :)",Technical Consultant Pain points
2025-04-23 12:20:50,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7320783710008549376,"Am I the only one who’s noticed this?""
""""
"" Someone with half the technical skill gets double the opportunities…""
""""
"" …just because they explain things better.""
""""
""I’ve seen this pattern over and over.""
""""
""And I’ve got some thoughts on why that happens.""
""""
""But I’m curious—have you noticed this too? 👇",Tech talk validation post (communication for technical professionals). Spark discussion
2025-04-22 22:11:49,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7320570050422153216,"Jason Liu is an independent ML consultant who scaled his consulting business from $170/hour to $100,000 a month in one year: https://jxnl.co/",
2025-04-22 21:16:48,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7320556202306797569,"Prompt engineering is the easiest way to improve an LLM system.""
""""
""But it has a core limitation...""
""""
""Namely, it relies on a model’s ability to accurately execute a task in a single shot. ""
""""
""In a new YouTube video, I discuss another approach to improving an LLM system via automated feedback loops. ""
""""
""This works by iteratively evaluating an LLMs output and feeding it back to itself (with feedback) to improve its response.""
""""
""👉 Check out the video here: https://lnkd.in/g336Dv3Q",Share content: LLM in a loop video
